word,window,sentence,dependency
,lewis, rose, ('shoot'; 'adpobj'; 'TO-ME'; 'adpmod'; 'with')
,nest, heavy, ('mount'; 'nsubjpass'; 'TO-ME')
,battery, shoot, ('jump'; 'dobj'; 'TO-ME')
,jump, arm, ('battery'; 'adpobj'; 'TO-ME')
bomb,,,
,atomic, explode, ('aimer'; 'compmod'; 'TO-ME')
,explode, luftwaffe, ('detonate'; 'nsubjpass'; 'TO-ME')
,disposal, atomic, ('detonate'; 'dobj'; 'TO-ME')
,petrol, ira, ('pipe'; 'amod'; 'FROM-ME')
,hydrogen, bombing, ('explode'; 'nsubj'; 'TO-ME')
,parcel, explosion, ('luftwaffe'; 'nsubj'; 'FROM-ME')
,luftwaffe, explosive, ('explodes'; 'compmod'; 'TO-ME')
,ira, injure, ('defuse'; 'dobj'; 'TO-ME')
,blast, bomber, ('explode'; 'compmod'; 'TO-ME')
,explosion, hydrogen, ('aircraft'; 'adpobj'; 'FROM-ME'; 'adpmod'; 'by')
,raid, raid, ('disposal'; 'compmod'; 'TO-ME')
,premature, nuclear, ('blast'; 'compmod'; 'TO-ME')
,neutron, drop, ('plant'; 'partmod'; 'FROM-ME')
,pipe, sink, ('explosion'; 'compmod'; 'TO-ME')
,bounce, target, ('raid'; 'dobj'; 'FROM-ME')
,suicide, aircraft, ('atomic'; 'amod'; 'FROM-ME')
,explosive, kill, ('hydrogen'; 'compmod'; 'FROM-ME')
,nuclear, damage, ('cluster'; 'compmod'; 'FROM-ME')
,conventional, plane, ('wave'; 'adpobj'; 'FROM-ME'; 'adpmod'; 'in')
,nato, destroy, ('plant'; 'dobj'; 'TO-ME')
horse,,,
,thoroughbred, thoroughbred, ('pony'; 'conj'; 'FROM-ME')
,trojan, mounted, ('mule'; 'conj'; 'FROM-ME')
,harness, jockey, ('harness'; 'compmod'; 'FROM-ME')
,rid, rid, ('trojan'; 'compmod'; 'FROM-ME')
,crazy, trailer, ('ride'; 'dobj'; 'TO-ME')
,racing, rider, ('wagon'; 'conj'; 'FROM-ME')
,riding, riding, ('crazy'; 'compmod'; 'FROM-ME')
,drawn, racing, ('rider'; 'conj'; 'FROM-ME')
,arabian, breed, ('thoroughbred'; 'compmod'; 'FROM-ME')
,cattle, cattle, ('rid'; 'dobj'; 'TO-ME')
,ride, bombay, ('bull'; 'conj'; 'TO-ME')
,artillery, ride, ('riding'; 'compmod'; 'TO-ME')
,wild, stake, ('racing'; 'compmod'; 'TO-ME')
,breed, cavalry, ('rid'; 'partmod'; 'FROM-ME')
,race, regiment, ('race'; 'partmod'; 'FROM-ME')
,rider, artillery, ('troop'; 'adpobj'; 'TO-ME'; 'adpmod'; 'of')
,brigade, brigade, ('man'; 'adpobj'; 'TO-ME'; 'adpmod'; 'on')
,dark, race, ('fall'; 'adpobj'; 'TO-ME'; 'adpmod'; 'from')
,trainer, wild, ('age'; 'partmod'; 'FROM-ME')
,shoe, trail, ('race'; 'adpobj'; 'TO-ME'; 'adpmod'; 'for')
fox,,,
,sac, hound, ('sauk'; 'conj'; 'TO-ME')
,20th, affiliation, ('hound'; 'conj'; 'FROM-ME')
,hunting, cbs, ('searchlight'; 'compmod'; 'TO-ME')
,news, nbc, ('footy'; 'compmod'; 'TO-ME')
,twentieth, abc, ('mulder'; 'compmod'; 'TO-ME')
,affiliate, affiliate, ('hare'; 'conj'; 'TO-ME')
,sport, sport, ('abc'; 'conj'; 'TO-ME')
,reservation, news, ('terrier'; 'compmod'; 'TO-ME')
